"book_number","name","total_chapters"
1,Génesis,0
2,Éxodo,0
3,Levítico,0
4,Números,0
5,Deuteronomio,0
6,Josué,0
7,Jueces,0
8,Rut,0
9,"1 Samuel",0
10,"2 Samuel",0
11,"1 Reyes",0
12,"2 Reyes",0
13,"1 Crónicas",0
14,"2 Crónicas",0
15,Esdras,0
16,Nehemías,0
17,Esther,0
18,Job,0
19,Salmos,0
20,Proverbios,0
21,Ecclesiastés,0
22,Canción de canciones,0
23,Isaías,0
24,Jeremías,0
25,Lamentaciones,0
26,Ezequiel,0
27,Daniel,0
28,Oseas,0
29,Joel,0
30,Amós,0
31,Abdías,0
32,Jonás,0
33,Miqueas,0
34,Nahum,0
35,Habacuc,0
36,Sofonías,0
37,Haggeo,0
38,Zacarías,0
39,Malaquías,0
40,Mateo,0
41,Marcos,0
42,Lucas,0
43,Juan,0
44,Hechos,0
45,Romanos,0
46,"1 Corintios",0
47,"2 Corintios",0
48,Gálatas,0
49,Efesios,0
50,Filipenses,0
51,Colosenses,0
52,"1 Tesalonicenses",0
53,"2 Tesalonicenses",0
54,"1 Timoteo",0
55,"2 Timoteo",0
56,Tito,0
57,Filemón,0
58,Hebreos,0
59,Santiago,0
60,"1 Pedro",0
61,"2 Pedro",0
62,"1 Juan",0
63,"2 Juan",0
64,"3 Juan",0
65,Judas,0
66,Revelación,0
